"English Title","China Runtime","Converted Runtime","China Release"
"Robot WarsThe Feed",01:33:32,93,"10/17/16"
"Batkid Begins: The Wish Heard Around the World",01:27:15,87,
"Sniper: Legacy",01:33:57,93,"null"
"Alice in Wonderland",01:48:35,108,"3/26/10"
"Basmati Blues",01:41:50,101,"null"
"Term Life",01:30:40,90,
"The Fault in Our Stars",02:00:42,120,
"Jennifer's Body",01:38:07,98,
"PHOBIA",01:17:45,77,
"Battleship",02:10:26,130,"4/18/12"
"Death Race",01:50:27,110,
"Breaking Legs",01:37:46,97,"null"
"Sharknado",01:22:56,82,
"Focus",01:42:45,102,
"The Wolverine",02:18:13,138,"10/17/13"
"Brad's Status",01:37:46,97,
"The Hunger Games",02:22:33,142,"6/14/12"
"Into the Storm",01:29:17,89,12/14/09
"Resident Evil: Afterlife",01:36:50,96,"11/16/10"
"Sex and The City",02:24:32,144,
"I Remember You",01:26:16,86,
"Homefront",01:31:15,91,"3/14/14"
"X-Men: First Class",02:11:43,131,
"He's Just Not That Into You",02:09:22,129,
"Tomorrowland",02:04:32,124,"5/26/15"
"Felon",01:39:36,99,
"Mega Python vs. Gatoroid",01:29:50,89,
"Ice Age: Continental Drift",01:27:44,87,"7/27/12"
"War Horse",02:26:40,146,"2/28/12"
"Race to Witch Mountain",01:38:13,98,
"Lego DC Super Hero Girls: Brain Drain",01:12:13,72,"null"
"Bolt",01:36:22,96,
"The Lost Tribe",01:29:35,89,
"Max",01:50:57,110,
"Wreck-It Ralph",01:41:13,101,6/12/11
"Black Swan",01:39:04,99,
"Land of the Lost",01:41:40,101,
"Falcon Rising",01:40:37,100,
"Cars 2",01:46:16,106,"8/24/11"
"The Blind Side",02:08:33,128,
"The Experiment",01:36:06,96,
"Journey to the Center of the Earth",01:32:34,92,"9/29/08"
"Killer Ants",01:15:15,75,
"Lockdown",01:29:45,89,
"The Last Stand",01:46:39,106,"10/24/13"
"Terminator Salvation",01:57:29,117,9/9/06
"Scooby-Doo & Batman: the Brave and the Bold",01:12:02,72,"null"
"Indiana Jones and the Kingdom of the Crystal Skull",02:02:32,122,
"Bears",01:14:20,74,
"Ardennes Fury",01:27:04,87,
"The Tank",01:16:50,76,"null"
"Heart of a Dog",01:15:14,75,
"Monkey Kingdom",01:17:23,77,
"Maximum Ride",01:24:38,84,
"Isolation",01:33:59,93,
"The Hangover",01:45:14,105,
"Live by Night",02:02:29,122,
"Django Unchained",02:45:10,165,12/13/05
"Shark Lake",01:28:46,88,2/15/10
"The Shadow Effect",01:29:33,89,"null"
"Babylon A.D.",01:40:44,100,
"Shrek Forever After",01:33:10,93,"8/16/10"
"Despicable Me 2",01:37:56,97,10/14/01
"Batman Vs. Two-Face",01:09:06,69,"null"
"Crosshairs",02:00:01,120,
"The Lego Movie",01:40:35,100,
"Wrath of the Titans",01:39:29,99,"3/30/12"
"John Carter",02:12:01,132,"3/16/12"
"Mamma Mia!",01:48:34,108,
"Looney Tunes:Rabbits Run",01:14:18,74,
"Pan",01:51:32,111,"10/22/15"
"The A-Team",01:53:09,113,
"The Town",02:27:44,147,
"Rise of the Guardians",01:33:11,93,"11/16/12"
"After Earth",01:40:03,100,12/13/07
"Fences",02:13:09,133,"null"
"Helix",01:34:25,94,
"Hellboy II: The Golden Army",01:59:40,119,"11/21/08"
"Begin Again",01:44:25,104,"6/26/15"
"Indignation",01:45:21,105,
"Number 9",01:15:31,75,
"Wanted",01:49:58,109,9/8/10
"The Hurt Locker",02:10:16,130,
"The Spiderwick Chronicles",01:31:50,91,"4/29/08"
"Where the Wild Things Are",01:41:02,101,
"No Strings Attached",01:38:42,98,
"Jack Ryan: Shadow Recruit",01:45:32,105,"1/17/14"
"The Last Airbender",01:38:59,98,"8/23/10"
"Creeping Crawling",01:49:18,109,
"Demolition",01:36:22,96,
"The Smurfs 2",01:40:31,100,12/13/09
"The Help",02:26:15,146,
"Like Crazy",01:26:22,86,
"Red Riding Hood",01:40:24,100,
"Salt",01:41:04,101,
"Priest",01:27:27,87,"11/29/11"
"Dragonball Evolution",01:21:51,81,"3/14/09"
"Dark Shadows",01:53:05,113,
"Moneyball",02:13:14,133,
"Captain Phillips",02:08:30,128,
"Equals",01:41:20,101,
"The Book of Henry",01:44:38,104,
"Uncanny",01:22:44,82,
"Therapy",01:21:19,81,"null"
"In Bruges",01:46:56,106,
"The Odd Life of Timothy Green",01:44:35,104,
"Elysium",01:44:30,104,5/13/09
"Miles",01:24:45,84,
"The Gambler",01:50:58,110,
"Crowning Jules",01:24:02,84,"null"
"Anomalisa",01:19:43,79,
"Stoker",01:38:28,98,
"Memorias de mis putas tristes",01:31:26,91,
"Yes Man",01:44:23,104,
"Hugo",02:06:21,126,"5/31/12"
"The Chronicles of Narnia: The Voyage of the Dawn Treader",01:47:59,107,7/11/01
"Sex and The City 2",02:25:33,145,
"Time Toys",01:23:04,83,"null"
"Justice League: Gods and Monsters",01:15:42,75,
"Changeling",02:21:53,141,
"The Keeping Room",01:34:29,94,
"Cloverfield",01:21:15,81,
"127 Hours",01:26:00,86,
"The Smurfs",01:42:43,102,10/11/08
"The Losers",01:36:59,96,
"Moby Dick",01:27:33,87,
"Australia",02:38:37,158,"1/28/09"
"Batman Unlimited: Mech vs. Mutants",01:15:10,75,
"Nine Dead",01:26:28,86,9/10/03
"Compliance",01:29:06,89,
"Temple Grandin",01:44:02,104,
"The Mortal Instruments: City of Bones",02:09:59,129,"8/21/13"
"Nuts",01:36:32,96,"null"
"Mr. Right",01:35:25,95,
"Flight",02:09:23,129,
"It Had To Be You",01:16:39,76,"null"
"Alpha and Omega",01:28:11,88,"2/25/11"
"Exists",01:19:46,79,
"Barely Lethal",01:38:57,98,
"Tron: Legacy",02:05:08,125,10/11/01
"Don't Be Afraid of the Dark",01:39:32,99,
"The Grey",01:57:32,117,"5/18/12"
"Another Cinderella Story",01:31:54,91,
"Dredd",01:29:37,89,1/13/03
"Unstoppable",01:38:30,98,9/10/11
"17 Again",01:41:55,101,
"Wild",01:52:10,112,
"Madagascar: Escape 2 Africa",01:29:23,89,1/9/01
"Vantage Point",01:25:52,85,
"The Sorcerer",01:49:03,109,9/10/09
"Lego: DC Comics Super Heroes: Justice League vs. Bizarro League",48:43:00,2923,10/15/02
"Sherlock Holmes",02:08:24,128,
"The Proposal",01:47:47,107,
"This Means War",01:33:38,93,"6/16/12"
"Seclusion",01:23:51,83,
"Unchained: The Untold Story of Freestyle Motocross",01:28:17,88,"null"
"Another Earth",01:28:33,88,
"Robin Hood",02:20:16,140,11/10/06
"To the Arctic",40:20:00,2420,
"Playing It Cool",01:30:53,90,
"Drive",01:38:24,98,
"Gran Torino",01:53:40,113,
"Legend of the Guardians: The Owls of Ga",01:36:48,96,12/10/11
"Argo",02:09:36,129,
"The Rig",01:33:21,93,
"Go With Me",01:25:53,85,
"Never let go",01:29:51,89,
"Hereafter",02:08:45,128,
"Return to the Hiding Place",01:41:52,101,
"21 - The Movie",01:57:32,117,
"Too Big to Fail",01:38:42,98,
"Red Tails",02:04:56,124,
"Mr. Popper's Penguins",01:30:22,90,
"The Good Neighbor",01:26:31,86,
"My All American",01:53:28,113,"null"
"Sucker Punch",02:07:30,127,"4/15/11"
"Broken Vows",01:26:00,86,
"Dark Was the Night",01:38:02,98,
"Morning Glory",01:47:28,107,
"Annie",01:53:39,113,9/15/01
"Android Cop",01:28:29,88,
"Ninja Assassin",01:36:55,96,
"My Best Friend",01:38:40,98,"null"
"Paranormal Activity 4",01:23:38,83,
"Broken Promise",01:28:27,88,"null"
"Kill Speed",01:51:47,111,
"Batman: Assault on Arkham",01:12:18,72,
"The Intervention",01:25:09,85,
"Storage Locker 181",01:28:31,88,"null"
"Always",01:34:50,94,
"Epic",01:38:03,98,"11/29/13"
"LEGO Batman: The Movie - DC Superheroes Unite",01:10:46,70,
"Takers",01:42:37,102,
"The Strangers",01:25:11,85,
"Sea Horse",01:34:37,94,"null"
"Justice League: Doom",01:13:39,73,
"Nazis at the Center of the Earth",01:23:55,83,
"Apple of My Eye",01:20:52,80,"null"
"Meadowland",01:30:41,90,
"The Host",02:05:38,125,
"The Cell 2",01:32:41,92,
"Batman vs. Robin",01:19:59,79,
"American Hustle",01:43:12,103,4/14/07
"Starlet",01:32:09,92,
"Stolen",01:35:50,95,1/13/03
"Scooby-Doo! And Kiss: Rock and Roll Mystery",01:18:39,78,
"Angels & Demons",02:26:15,146,
"The Hundred-Foot Journey",01:57:12,117,
"Serena",01:49:32,109,
"Conan the Barbarian",01:48:12,108,"2/26/12"
"Up in the Air",01:49:11,109,
"Wall Street 2: Money Never Sleeps",02:07:28,127,"10/15/10"
"The Sisterhood of the Traveling Pants 2",01:59:34,119,
"Killer Joe",01:37:41,97,
"Black Mass",02:02:36,122,
"Lowriders",01:38:08,98,"null"
"The Accidental Husband",01:30:37,90,
"Accelerate: The BMX Movie",01:38:08,98,"null"
"The River Thief",01:26:44,86,"null"
"The Rendezvous",01:27:38,87,"null"
"Me & Earl & the Dying Girl",01:45:12,105,
"The House Bunny",01:33:12,93,"8/22/08"
"The Other Guys",01:42:56,102,
"Robot and Frank",01:28:49,88,
"Ghost Squad",01:26:17,86,"null"
"It's Complicated",02:00:08,120,
"Open Season 3",01:14:36,74,"1/28/10"
"Truth",02:05:23,125,
"Public Enemies",02:20:04,140,
"Winnie the Pooh",01:02:11,62,
"The Runner",01:29:39,89,
"The Clique",01:27:16,87,
"The End of the Tour",01:46:04,106,
"Diary of a Wimpy Kid",01:28:29,88,
"Lost River",01:29:45,89,
"Legends of Oz: Dorothy",01:31:55,91,
"Stolen Dreams",01:28:19,88,"null"
"The Hybrids Family",01:30:24,90,"null"
"Leaves of the Tree",01:36:09,96,"null"
"Red Lights",01:53:51,113,
"Green Hornet",01:53:53,113,8/11/02
"Gangster Squad",01:52:55,112,
"The Deep Blue Sea",01:36:47,96,
"Batman: The Dark Knight Returns, Part 1",01:16:15,76,
"Scooby-Doo! WrestleMania Mystery",01:23:37,83,
"black widow",01:20:51,80,
"The Loft",01:40:50,100,
"Black Hawk Down",02:23:38,143,
"Song One",01:28:17,88,
"Saving Mr. Banks",02:00:29,120,
"The Three Musketeers",01:50:32,110,"5/15/12"
"The Pursuit of Happyness",01:56:55,116,"1/17/08"
"Crazy Heart",01:46:56,106,"12/16/09"
"Spy Kids: All the Time in the World",01:28:45,88,6/12/03
"Submerged",01:38:27,98,12/16/02
"Smurfs The Legend of Smurfy Hollow",21:19:00,1279,
"Element",01:24:29,84,
"Enter The Dangerous Mind",01:23:25,83,
"Fire with Fire",01:34:49,94,"11/28/14"
"Little Fockers",01:37:40,97,
"The Lord of the Rings: The Return of the King",03:21:01,201,12/4/03
"Phantom Halo",01:29:07,89,
"Women in Trouble",01:35:33,95,
"Dolphin Tale",01:52:40,112,
"How to Make Love Like an Englishman",01:36:20,96,
"Smashed",01:17:27,77,
"Burlesque",01:54:00,114,
"Easy A",01:28:28,88,
"Witchville",01:29:21,89,
"Son of Batman",01:14:09,74,
"The Smurfs: A Christmas Carol",21:36:00,1296,
"The Girl in the Book",01:24:55,84,"6/13/15"
"Adult World",01:33:31,93,
"Ramona and Beezus",01:39:11,99,"7/23/10"
"Doubt",01:43:54,103,
"Swelter",01:36:01,96,
"Airplane vs Volcano",01:30:50,90,"3/28/14"
"Hit & Run",01:29:33,89,"null"
"Wish for Christmas",01:36:26,96,"null"
"Wild bunch on ice",01:33:16,93,"null"
42,02:08:14,128,
"Angus, Thongs and Perfect Snogging",01:36:00,96,
"The Day After Tomorrow",01:58:31,118,"5/28/04"
"Sunlight Jr.",01:33:30,93,
"Trust Fund",01:47:46,107,"null"
"The Ugly Truth",01:35:57,95,
"Rob the Mob",01:43:38,103,
"Echelon 8",01:47:44,107,"5/17/09"
"Axe to Grind",01:17:12,77,
"I Am Legend",01:43:54,103,
"Super 8",01:51:48,111,
"Harry Potter and the Chamber of Secrets",02:54:24,174,"1/24/03"
"Aftermath",01:20:46,80,
"Disarmed",01:36:21,96,1/10/11
"Margin Call",01:41:25,101,
"Get the Gringo",01:35:40,95,
"Scooby-Doo! Legend of the Phantosaur",01:15:11,75,
"Brothers at War",01:50:02,110,
"Shelter",01:52:01,112,
"National Treasure",02:04:35,124,
"Semi-Pro",01:32:48,92,
"The Big Year",01:35:54,95,
"Tears of the Sun",02:00:51,120,
"Spider Man 3",02:19:11,139,1/7/05
"The Incredibles",01:55:18,115,
"The Pirates! Band of Misfits",01:28:05,88,1/12/06
"State of Play",02:07:07,127,"8/18/09"
"Edge of Darkness",01:56:42,116,
"True Justice Deadly Crossing",01:30:14,90,
"The Bounty Hunter",01:45:57,105,
"The Counselor",02:05:54,125,
"Filth to Ashes, Flesh to Dust",01:25:56,85,
"The Preppie Connection",01:35:51,95,
"Mommy's Box",01:25:56,85,"null"
"A Christmas Reunion",01:24:35,84,"null"
"Savannah Sunrise",01:23:30,83,"null"
"Whiteout",01:40:39,100,
"V for Vendetta",02:11:45,131,
"The Disappearance of Eleanor Rigby: Her",01:45:48,105,
"Something Borrowed",01:52:40,112,
"The Incredible Burt Wonderstone",01:40:18,100,
"Little Children",02:08:52,128,
"Leap Year",01:39:53,99,
"Icarus",01:28:07,88,
"Date Night",01:41:36,101,
"Charlie St. Cloud",01:39:16,99,
"Harry Potter and the Goblet of Fire",02:37:05,157,"11/18/05"
"Death at a Funeral",01:26:04,86,
"Sinners and Saints",01:43:59,103,
"Speed Racer",02:15:00,135,10/8/08
"Airline Disaster",01:29:25,89,"6/29/10"
"Pirates of the Caribbean: Dead Man's Chest",02:30:39,150,
"The Bourne Ultimatum",01:55:14,115,"11/15/07"
"Yogi Bear",01:20:23,80,
"Goodbye World",01:39:08,99,
"Celeste and Jesse Forever",01:28:13,88,
"spider man",02:01:10,121,7/2/08
"The Fifth Estate",02:02:59,122,
"The Lazarus Project",01:41:14,101,
"Grown Ups 2",01:40:56,100,
"The X Files: I Want to Believe",01:48:07,108,
"Scooby-Doo and The Goblin King",01:14:12,74,
"Catch Me If You Can",02:14:58,134,11/3/04
"Nights in Rodanthe",01:37:06,97,
"Jersey Boys",02:14:17,134,
"Tooken",01:07:11,67,
"The Girl from the Naked Eye",01:17:47,77,
"And So It Goes",01:29:24,89,
"City of Lust",01:12:21,72,
"Where the Road Runs out",01:32:58,92,"null"
"The 7 Adventures of Sinbad",01:32:03,92,
"Roadside",01:21:21,81,
"Little Miss Sunshine",01:38:03,98,
"Across the Hall",01:33:26,93,
"The Canyons",01:32:29,92,
"The Butterfly Effect",01:55:14,115,
"Year One",01:39:29,99,
"Supremacy",01:48:18,108,
"Jonah Hex",01:21:28,81,
"The Sunderland Experriment",01:23:15,83,
"The Best Exotic Marigold Hotel 2",02:02:40,122,
"The Brooklyn Banker",01:37:56,97,"null"
"Cradle 2 the Grave",01:36:51,96,
"Ratatouille",01:50:33,110,
"Faces in the Crowd",01:42:23,102,"11/13/12"
"The Bourne Identity",01:58:26,118,
"Rush Hour 2",01:30:07,90,
"Resident Evil: Extinction",01:34:03,94,
"War, Inc.",01:46:52,106,"5/23/08"
"Stomp the Yard 2: Homecoming",01:23:59,83,
"Summer Eleven",01:33:12,93,
"The Artist",01:40:28,100,
"Animus",01:18:00,78,
"Spider-Man 2",02:15:46,135,1/4/07
"I-Lived",01:33:24,93,"null"
"The International",01:53:01,113,
"Baby Mama",01:38:58,98,
"Kill The Irishman",01:46:36,106,
"Transporter 2",01:23:59,83,"2/14/06"
"Dinner for Schmucks",01:54:03,114,
"The Spectacular Now",01:28:43,88,
"Universal Squadrons",01:22:20,82,
"The Black Knight - Returns",01:27:00,87,
"Extremely Loud and Incredibly Close",02:09:28,129,
"Scooby-Doo!Mask of the Blue Falcon",01:16:24,76,
"Welcome to the Punch",01:39:42,99,6/13/12
"Blood Ties",01:27:59,87,
"Nobody Walks",01:22:47,82,
"Blood Diamond",02:23:21,143,
"War Flowers",01:38:34,98,
"The Informant!",01:48:15,108,
"The Last Treasure Hunt",01:33:27,93,"null"
"Dukale's Dream",01:06:11,66,
"The Sitter",01:17:45,77,
"Cadillac Records",01:43:56,103,
"Mafia",01:21:26,81,
"House of Good and Evil",01:48:24,108,
"Hijacked",01:29:36,89,
"Bionicle 3: Web of Shadows",01:15:22,75,
"Mania Days",01:42:10,102,"3/15/15"
"Fool's Gold",01:52:26,112,"5/26/08"
"The Outsider",01:34:05,94,
"Lara Croft: Tomb Raider",01:40:32,100,
"Did You Hear About the Morgans?",01:39:11,99,
300,01:54:02,114,"6/14/07"
"Muppets Most Wanted",01:42:52,102,
"Lara Croft Tomb Raider: The Cradle of Life",01:57:23,117,
"Into the Wild",02:19:31,139,
"In Vogue: The Editor's Eye",01:26:17,86,
"New Year's Eve",01:57:54,117,
"Restless",01:26:59,86,
"The Impaler",01:23:29,83,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",01:17:40,77,
"Kelly & Cal",01:44:20,104,"null"
"Game Change",01:52:21,112,
"Terminator 3: Rise of the Machines",01:48:02,108,"8/29/03"
"Lockhart: Unleashing the Talisman",01:37:01,97,"null"
"Entourage",01:35:14,95,
"The Bronx Bull",01:32:02,92,
"Paul Blart: Mall Cop",01:31:03,91,
"A Year and Change",01:32:23,92,"null"
"Ice Age 2: The Meltdown",01:30:36,90,"10/13/14"
"Scott Pilgrim vs. the World",01:52:23,112,
"The Forger",01:28:10,88,
"The Princess Diaries 2: Royal Engagement",01:53:13,113,
"The Cold Light of Day",01:29:23,89,12/12/10
"Hot Tub Time Machine",01:32:00,92,
"Dragon Hunter",01:34:11,94,
"Take Care",01:32:46,92,
"The Mummy Returns",02:09:37,129,
"Batman Begins",02:20:02,140,"6/29/05"
"Behind the Candelabra",01:54:00,114,
"Sharkskin",01:34:51,94,"null"
"The Devil and the Deep Blue Sea",01:44:42,104,
"Tammy",01:36:42,96,
"Scooby-Doo! Curse of the Lake Monster",01:22:08,82,
"Arthur",01:46:09,106,
"The Oranges",01:30:25,90,
"No Letting Go",01:43:58,103,"null"
"Arctic Tale",01:25:57,85,
"Phil Spector",01:27:54,87,
"Ghosts of Girlfriends Past",01:40:38,100,
"Man Up",01:22:51,82,
"Bad Boys II",02:24:45,144,
"Men in Black II",01:28:06,88,
"Trouble with the Curve",01:51:12,111,
"Waiting for Superman",01:46:42,106,
"Jackass Presents: Bad Grandpa",01:42:13,102,
"The Suspect",01:37:44,97,
"Realm of Souls",01:35:22,95,
"The Boat Builder",01:28:43,88,"null"
"xXx: State of the Union",01:40:58,100,"6/17/05"
"The Ant Bully",01:29:03,89,
"The Water Horse",01:51:44,111,"2/16/08"
"My Apocalypse",01:20:05,80,
"The Last Samurai",02:34:11,154,
"Garfield: The Movie",01:20:12,80,"12/17/04"
"Exit Speed",01:31:07,91,
"Cinderella Man",02:24:21,144,
"Marie Antoinette",01:59:04,119,
"The Watch",01:36:46,96,
"Funny People",02:25:27,145,
"2 Fast 2 Furious",01:47:41,107,
"Fighting",01:44:42,104,
"Fantastic Four: Rise of the Silver Surfer",01:31:50,91,"6/15/07"
"Circle",01:22:02,82,
"Words and Pictures",01:50:34,110,
"Possession",01:24:45,84,
"A Beautiful Mind",02:15:31,135,
"The Simpsons Movie",01:26:43,86,"12/17/89"
"Catwoman",01:44:18,104,
"Of Mind and Music",01:36:57,96,"null"
"Dragonquest",01:28:29,88,"3/31/09"
"Listen to Your Heart",01:40:21,100,
"God's Pocket",01:23:41,83,
"Superman Returns",02:34:19,154,11/6/07
"full circle",01:24:03,84,
"Ella Enchanted",01:36:04,96,
"Breaking Wind",01:21:00,81,
"Righteous Kill",01:38:53,98,"11/30/10"
"A horse tail",01:25:13,85,"null"
"Aquamarine",01:39:16,99,
"The Ultimate Legacy",01:39:26,99,"null"
"Shanghai Knights",01:54:22,114,
"Evan Almighty",01:35:41,95,
"The Amityville Horror",01:29:23,89,
"Kicking It",01:34:55,94,
"The Texas Killing Fields",01:44:51,104,
"Prisoners of the Sun",01:27:36,87,
"Expecting",01:26:17,86,
"Training Day",01:55:35,115,
"Keeping Rosy",01:30:59,90,"null"
"Slew Hampshire",01:36:08,96,
"Labor Pains",01:29:11,89,"7/19/09"
"Get Smarter: Bruce and Lloyd Out of Control",01:11:38,71,
"Holiday Road Trip",01:26:19,86,"null"
"Stardust",02:07:41,127,
"Mission Park",01:29:40,89,
"Hide and Seek",01:36:38,96,
"The DaVinci Code",02:52:38,172,"5/18/06"
"Captured Hearts",01:31:41,91,
"Abandoned",01:28:16,88,"8/24/10"
"Untraceable",01:40:57,100,
"Cats & Dogs",01:27:15,87,
"Flags of Our Fathers",02:11:30,131,
"For Colored Girls",02:13:35,133,5/10/11
"Zathura: A Space Adventure",01:37:05,97,
"Eragon",01:44:00,104,6/7/04
"Nowhere Safe",01:31:22,91,
"Watercolor Postcards",01:45:10,105,
"Key",01:26:57,86,
"Stealth",02:00:44,120,
"Love Actually",02:12:50,132,
"Collateral",01:54:58,114,
"The Job",01:38:32,98,
"Adventures of a Teenage Dragonslayer",01:32:35,92,
"The Son of No One",01:33:45,93,
"Hit List",01:27:43,87,
"Poseidon",01:38:14,98,2/6/06
"Blade II",01:56:14,116,
"Top Five",01:34:03,94,
"The Muppets",01:42:44,102,
"The Phantom of the Opera",02:21:06,141,
"Masterminds",01:28:49,88,
"Goal!",01:53:12,113,
"Hell Fire",01:33:00,93,
"Shrek the Third",01:32:48,92,"8/24/07"
"OXV: The Manual",01:44:54,104,
"The Runaways",01:42:03,102,
"Venom",01:27:06,87,
"Open House",01:23:40,83,
"Minority Report",02:19:16,139,
"For the Love of a Dog",01:20:04,80,
"Shark Tale",01:29:40,89,"4/29/05"
"Personal Effects",01:49:17,109,
"Badge of Betrayal",01:26:17,86,"null"
"The 11th Hour",01:32:35,92,
